user_id,user_yelping_since_year,user_average_stars,user_votes_funny,user_votes_useful,user_votes_cool,user_fans
1,2012,4,9,5,8,1
2,2010,2.5,0,77,1,0
3,2009,4,1995,936,1503,29
4,2008,4.5,0,69,5,0
5,2010,5,0,1,8,0
6,2013,4.5,9,24,8,0
7,2011,4.5,0,0,0,0
8,2013,2,0,0,0,0
9,2011,3.5,8,2,0,0
10,2012,4,9,80,0,0
11,2012,5,9,4,1,0
12,2011,1,9,6,0,0
13,2013,5,2,0,0,0
14,2012,5,0,0,0,0
15,2011,4,0,95,2,0
16,2008,3.5,9,6,1,0
17,2012,3.5,0,1,0,0
18,2009,3.5,6,6,0,0
19,2010,4,92,450,316,0
20,2011,4.5,4,9,8,0
21,2010,4,3,88,61,0
22,2011,1,7,7,3,0
23,2012,1,0,5,0,0
24,2012,5,0,0,0,0
25,2010,5,8,64,85,0
26,2013,4,0,4,0,0
27,2011,5,0,4,0,0
28,2010,4,2,1,7,7
29,2011,3.5,4,93,9,0
30,2010,5,0,2,1,0
31,2012,4.5,0,0,8,0
32,2011,4,0,0,0,0
33,2011,4.5,7,482,247,1
34,2010,3,0,3,5,0
35,2013,4,2,0,0,0
36,2013,5,5,0,0,0
37,2012,4.5,0,9,0,0
38,2011,3,0,0,0,0
39,2011,4.5,0,5,7,0
40,2012,5,0,9,6,0
41,2013,3,0,2,0,0
42,2011,4.5,5,7,3,0
43,2012,1,0,0,0,0
44,2008,4,8,27,7,0
45,2008,4,834,1604,1519,80
46,2011,3.5,7,99,8,1
47,2010,4.5,0,4,8,0
48,2013,3.5,0,8,6,0
49,2009,4,0,0,2,0
50,2012,3,0,8,1,0
51,2013,4.5,7,9,4,0
52,2013,5,0,0,0,0
53,2011,3,5,82,3,0
54,2010,3,0,4,0,0
55,2013,5,0,0,0,0
56,2012,4,4,5,0,0
57,2010,3.5,2,7,9,0
58,2013,4,6,0,0,0
59,2012,5,0,0,0,0
60,2012,2.5,0,7,0,0
61,2011,4,2,1,0,0
62,2011,4,8,73,5,1
63,2011,3,0,0,0,0
64,2009,3.5,2,27,6,0
65,2010,3.5,2,91,70,9
66,2011,3.5,3,88,5,0
67,2012,1.5,1,3,6,0
68,2012,4,0,0,0,0
69,2010,4,4,1,7,0
70,2010,3.5,89,307,17,0
71,2009,4.5,6,37,3,0
72,2012,3,9,0,0,0
73,2009,4.5,0,8,0,0
74,2010,4,7,78,35,8
75,2013,1,0,8,0,0
76,2013,3,0,0,0,0
77,2011,4.5,8,3,2,0
78,2010,4.5,6,10,8,0
79,2010,4.5,0,1,9,0
80,2013,3.5,3,3,7,0
81,2012,4,0,4,1,0
82,2008,4.5,203,393,371,9
83,2012,4.5,11,67,31,0
84,2011,3,6,1,0,0
85,2013,5,2,0,0,0
86,2014,4,8,3,7,5
87,2013,5,0,0,0,0
88,2011,4.5,0,0,0,0
89,2012,3.5,2,30,4,0
90,2010,4,0,5,2,0
91,2011,5,0,5,2,3
92,2011,4.5,0,6,4,0
93,2011,4,0,0,0,0
94,2009,4,283,1598,146,1
95,2009,4,1,3,4,0
96,2011,4.5,0,53,7,0
97,2011,5,0,8,1,0
98,2012,3,0,0,0,0
99,2011,3.5,4,17,7,0
100,2013,4,0,5,0,0
101,2009,3.5,14,55,5,0
102,2006,3.5,1634,781,1679,66
103,2011,4,0,4,6,0
104,2011,5,0,4,5,0
105,2009,4,85,396,44,9
106,2013,1,0,5,0,0
107,2011,4.5,1,80,8,0
108,2010,3,19,59,3,0
109,2013,4,0,0,0,0
110,2011,3.5,1,34,9,0
111,2008,3.5,1,38,4,0
112,2010,4,5,8,8,0
113,2010,4,0,0,0,0
114,2012,3.5,0,3,3,0
115,2009,3,434,1572,442,1
116,2009,3.5,88,284,65,6
117,2013,5,1,0,0,0
118,2010,4,0,2,7,0
119,2011,4,0,0,0,0
120,2010,4,1416,2061,2492,51
121,2012,5,0,2,8,0
122,2013,4,0,4,0,0
123,2012,2.5,89,87,6,0
124,2012,4,4,1,8,0
125,2010,4,65,392,38,7
126,2013,4,46,35,41,0
127,2008,2,7,2,0,0
128,2010,3,4,3,6,0
129,2012,4.5,8,83,3,0
130,2011,4,4,4,0,0
131,2011,4.5,7,30,5,9
132,2008,4.5,99,192,21,0
133,2012,3.5,7,24,8,0
134,2009,3.5,9,80,3,8
135,2012,4,8,93,1,3
136,2012,1,1,2,1,0
137,2010,4,0,1,0,0
138,2012,5,2,50,7,4
139,2009,3,8,9,7,0
140,2012,2,8,10,2,0
141,2013,5,0,0,0,0
142,2011,1,0,0,0,0
143,2010,5,0,0,0,0
144,2012,1,0,4,0,0
145,2012,5,0,1,0,0
146,2009,3.5,1697,1887,615,40
147,2011,4,77,2,6,0
148,2011,3.5,5,9,1,0
149,2013,5,0,0,0,0
150,2011,4,2,31,7,0
151,2011,4.5,68,403,123,6
152,2010,4,41,87,64,0
153,2010,4,0,0,0,0
154,2011,3,5,64,6,0
155,2009,1,1,8,7,0
156,2013,4.5,0,2,0,0
157,2009,5,4,2,2,5
158,2007,4,9,88,1,0
159,2009,4,0,9,8,0
160,2011,3,2,7,3,0
161,2011,2.5,9,1,0,0
162,2013,1,9,3,0,0
163,2012,5,0,2,0,0
164,2013,5,0,0,0,0
165,2007,4,2,70,9,0
166,2012,3,1,3,2,0
167,2011,4.5,0,9,2,1
168,2010,3,6,6,4,0
169,2011,3,0,0,0,0
170,2010,3,5,9,2,0
171,2010,2.5,0,8,0,0
172,2011,5,0,0,0,0
173,2011,4,3,2,9,0
174,2012,5,7,0,0,0
175,2009,3,229,1931,217,0
176,2008,3,16,90,81,8
177,2012,4.5,0,1,1,0
178,2014,1,0,0,0,0
179,2013,5,0,0,0,0
180,2012,3,8,6,0,0
181,2011,3.5,9,6,4,0
182,2013,4,0,0,0,0
183,2011,3.5,37,215,56,6
184,2008,3.5,22,382,67,0
185,2013,4,82,134,131,4
186,2011,3.5,2,2,8,0
187,2012,5,2,3,0,0
188,2010,3,8,80,9,0
189,2011,5,0,4,0,0
190,2011,3,0,3,3,0
191,2012,1,0,6,0,0
192,2013,5,0,0,6,0
193,2011,4,7,33,6,9
194,2013,5,0,0,0,0
195,2010,5,4,3,0,0
196,2012,5,0,8,0,0
197,2011,4,0,5,0,0
198,2012,5,7,7,6,0
199,2013,1,0,4,0,0
200,2011,4,8,4,8,0
201,2012,5,0,6,0,0
202,2011,4,11,72,71,0
203,2011,2.5,0,7,0,0
204,2010,4,7,7,0,0
205,2012,1.5,0,63,0,0
206,2011,3.5,3,1,0,0
207,2014,5,0,0,0,0
208,2013,5,0,0,0,0
209,2011,3,6,48,4,0
210,2011,3,6,75,84,9
211,2011,1,0,0,0,0
212,2011,3.5,0,5,2,0
213,2010,4.5,5,8,2,0
214,2013,4.5,5,0,0,0
215,2011,2,89,47,3,0
216,2013,5,0,1,6,0
217,2010,4,56,156,72,4
218,2013,5,0,0,0,0
219,2010,3,6,3,4,0
220,2010,4.5,0,1,3,5
221,2011,4,2,51,6,2
222,2008,3.5,6,3,0,0
223,2011,5,6,2,7,0
224,2012,5,0,0,0,0
225,2009,4,24,376,118,6
226,2012,4,4,7,3,0
227,2013,3.5,0,3,0,0
228,2010,3.5,9,9,3,0
229,2011,5,0,8,8,0
230,2006,3.5,1462,1779,1074,46
231,2012,1,4,9,9,0
232,2011,4.5,9,50,4,0
233,2010,3,82,299,70,7
234,2011,4.5,0,6,0,9
235,2009,3.5,86,401,207,7
236,2011,4,0,7,6,0
237,2013,4,0,9,0,0
238,2007,3.5,362,363,158,0
239,2011,5,0,0,0,0
240,2010,4.5,0,84,0,0
241,2011,5,0,7,9,0
242,2009,3,95,236,66,8
243,2012,4.5,3,43,69,7
244,2010,4,9,30,1,0
245,2012,3,3,1,8,0
246,2008,3.5,6,26,82,8
247,2012,1,0,0,0,0
248,2008,3.5,90,172,47,9
249,2013,2.5,6,3,5,0
250,2013,5,0,0,0,0
251,2011,4,0,9,0,0
252,2010,3.5,5,6,2,0
253,2014,5,0,3,0,0
254,2009,4,1,3,6,0
255,2010,3,0,0,0,0
256,2010,1,3,3,1,0
257,2010,4,0,3,3,0
258,2008,3.5,1,12,4,0
259,2012,1,0,6,0,0
260,2011,4,0,0,0,0
261,2013,4.5,0,0,0,0
262,2006,4,998,705,1010,361
