user_id,vip_list,user_yelping_since_year,user_review_counts,user_fans,user_votes_funny,user_votes_useful,user_votes_cool,user_average_stars,user_tip_counts
1,0,2012,2,1,9,5,8,4.0,0
2,0,2010,1,0,0,77,1,2.5,0
3,1,2009,128,29,1995,936,1503,4.0,0
4,0,2008,1,0,0,69,5,4.5,0
5,0,2010,2,0,0,1,8,5.0,0
6,0,2013,1,0,9,24,8,4.5,0
7,0,2011,1,0,0,0,0,4.5,0
8,0,2013,1,0,0,0,0,2.0,0
9,0,2011,2,0,8,2,0,3.5,0
10,0,2012,1,0,9,80,0,4.0,0
11,0,2012,1,0,9,4,1,5.0,0
12,0,2011,1,0,9,6,0,1.0,0
13,0,2013,1,0,2,0,0,5.0,0
14,0,2012,1,0,0,0,0,5.0,0
15,0,2011,2,0,0,95,2,4.0,0
16,0,2008,1,0,9,6,1,3.5,0
17,0,2012,1,0,0,1,0,3.5,0
18,0,2009,1,0,6,6,0,3.5,0
19,0,2010,1,0,92,450,316,4.0,0
20,0,2011,9,0,4,9,8,4.5,0
21,0,2010,19,0,3,88,61,4.0,0
22,0,2011,1,0,7,7,3,1.0,0
23,0,2012,1,0,0,5,0,1.0,0
24,0,2012,1,0,0,0,0,5.0,0
25,0,2010,2,0,8,64,85,5.0,0
26,0,2013,1,0,0,4,0,4.0,0
27,0,2011,2,0,0,4,0,5.0,0
28,0,2010,2,7,2,1,7,4.0,0
29,0,2011,1,0,4,93,9,3.5,0
30,0,2010,1,0,0,2,1,5.0,0
31,0,2012,1,0,0,0,8,4.5,0
32,0,2011,1,0,0,0,0,4.0,0
33,0,2011,3,1,7,482,247,4.5,0
34,0,2010,1,0,0,3,5,3.0,0
35,0,2013,2,0,2,0,0,4.0,0
36,0,2013,1,0,5,0,0,5.0,0
37,0,2012,2,0,0,9,0,4.5,0
38,0,2011,1,0,0,0,0,3.0,0
39,0,2011,2,0,0,5,7,4.5,0
40,0,2012,1,0,0,9,6,5.0,0
41,0,2013,2,0,0,2,0,3.0,0
42,0,2011,4,0,5,7,3,4.5,0
43,0,2012,1,0,0,0,0,1.0,0
44,0,2008,1,0,8,27,7,4.0,0
45,1,2008,1,80,834,1604,1519,4.0,0
46,0,2011,1,1,7,99,8,3.5,0
47,0,2010,1,0,0,4,8,4.5,0
48,0,2013,5,0,0,8,6,3.5,0
49,0,2009,1,0,0,0,2,4.0,0
50,0,2012,1,0,0,8,1,3.0,0
51,0,2013,7,0,7,9,4,4.5,0
52,0,2013,1,0,0,0,0,5.0,0
53,0,2011,3,0,5,82,3,3.0,0
54,0,2010,1,0,0,4,0,3.0,0
55,0,2013,1,0,0,0,0,5.0,0
56,0,2012,2,0,4,5,0,4.0,0
57,0,2010,1,0,2,7,9,3.5,0
58,0,2013,5,0,6,0,0,4.0,0
59,0,2012,2,0,0,0,0,5.0,0
60,0,2012,3,0,0,7,0,2.5,0
61,0,2011,6,0,2,1,0,4.0,0
62,0,2011,22,1,8,73,5,4.0,0
63,0,2011,1,0,0,0,0,3.0,0
64,0,2009,10,0,2,27,6,3.5,0
65,1,2010,3,9,2,91,70,3.5,0
66,0,2011,1,0,3,88,5,3.5,0
67,0,2012,3,0,1,3,6,1.5,0
68,0,2012,1,0,0,0,0,4.0,0
69,0,2010,3,0,4,1,7,4.0,0
70,0,2010,43,0,89,307,17,3.5,0
