user,category,rating
3,American (New),19
3,Wine Bars,6
3,Vegetarian,1
3,Soul Food,6
3,Sushi Bars,2
3,Latin American,3
3,Vegan,1
3,Pubs,15
3,British,3
3,Irish,3
3,Gastropubs,3
3,Breweries,12
3,Southern,3
3,Scandinavian,3
352,American (New),25
352,Wine Bars,11
352,Soul Food,9
352,Sushi Bars,5
352,Latin American,3
352,Vegan,3
352,Pubs,19
352,British,6
352,Climbing,3
352,Zoos,3
352,Irish,9
352,Gastropubs,1
352,Breweries,7
352,African,3
352,Southern,3
352,Airports,3
352,Ethiopian,3
535,American (New),27
535,Wine Bars,12
535,Vegetarian,6
535,Soul Food,3
535,Sushi Bars,10
535,Vegan,3
535,Pubs,13
535,British,6
535,Szechuan,3
535,Irish,4
535,Breweries,13
535,Southern,3
535,Airports,1
535,Fondue,3
659,American (New),25
659,Wine Bars,3
659,Vegetarian,3
659,Soul Food,3
659,Latin American,3
659,Pubs,10
659,British,3
659,Climbing,3
659,Irish,3
659,Breweries,3
659,Southern,3
659,Airports,1
876,American (New),13
876,German,1
876,Wine Bars,3
876,Vegetarian,1
876,Soul Food,6
876,Sushi Bars,3
876,Pubs,7
876,Irish,3
876,Breweries,9
876,Southern,6
959,American (New),41
959,Wine Bars,12
959,Vegetarian,6
959,Soul Food,1
959,Sushi Bars,8
959,Latin American,3
959,Vegan,1
959,Pubs,3
959,Botanical Gardens,3
959,Irish,3
959,Gastropubs,6
959,Southern,1
959,Airports,3
959,Modern European,3
959,Tapas/Small Plates,3
959,Brasseries,3
1135,American (New),15
1135,Vegetarian,1
1135,Sushi Bars,1
1135,Latin American,1
1135,Pubs,9
1135,British,3
1135,Climbing,2
1135,Irish,3
1135,Breweries,6
1135,Tapas/Small Plates,3
1284,American (New),61
1284,German,3
1284,Wine Bars,19
1284,Vegetarian,11
1284,Soul Food,2
1284,Sushi Bars,17
1284,Latin American,5
1284,Vegan,13
1284,Pubs,5
1284,British,3
1284,Botanical Gardens,1
1284,Irish,1
1284,Gastropubs,7
1284,Breweries,2
1284,African,1
1284,Southern,3
1284,Airports,3
1284,Modern European,1
1284,Ethiopian,1
1284,Tapas/Small Plates,6
1284,Brasseries,1
1463,American (New),5
1463,Wine Bars,3
1463,Soul Food,3
1463,Sushi Bars,8
1463,Latin American,1
1463,Pubs,8
1463,British,3
1463,Irish,1
1463,Breweries,1
1463,Southern,3
1607,American (New),25
1607,German,10
1607,Wine Bars,3
1607,Vegetarian,3
1607,Sushi Bars,3
1607,Latin American,2
1607,Pubs,13
1607,British,6
1607,Irish,1
1607,Breweries,17
1607,Scandinavian,3
1718,American (New),19
1718,Wine Bars,15
1718,Vegetarian,3
1718,Sushi Bars,2
1718,Latin American,1
1718,Vegan,3
1718,Pubs,5
1718,Gastropubs,6
1718,Breweries,10
1718,Tapas/Small Plates,3
1742,American (New),21
1742,German,3
1742,Sushi Bars,9
1742,Latin American,6
1742,Vegan,3
1742,Pubs,12
1742,British,3
1742,Breweries,3
1742,African,3
1742,Modern European,6
1742,Ethiopian,3
1742,Piano Bars,3
1742,Fondue,3
1771,American (New),29
1771,German,3
1771,Wine Bars,9
1771,Vegetarian,9
1771,Sushi Bars,19
1771,Pubs,3
1771,British,6
1771,Irish,3
1771,Breweries,1
1771,Tapas/Small Plates,3
1818,American (New),15
1818,Wine Bars,7
1818,Vegetarian,6
1818,Soul Food,1
1818,Sushi Bars,11
1818,Vegan,1
1818,Pubs,9
1818,British,3
1818,Botanical Gardens,3
1818,Irish,3
1818,Southern,1
1818,Airports,3
1818,Tapas/Small Plates,3
2160,American (New),15
2160,Wine Bars,10
2160,Vegetarian,5
2160,Sushi Bars,6
2160,Latin American,1
2160,Vegan,3
2160,Pubs,1
2160,Szechuan,2
2160,Gastropubs,1
2160,Southern,1
2160,Tapas/Small Plates,3
2160,Scandinavian,1
2187,American (New),13
2187,Wine Bars,3
2187,Vegetarian,3
2187,Soul Food,3
2187,Sushi Bars,4
2187,Latin American,3
2187,Vegan,3
2187,Southern,3
2187,Airports,3
2187,Fondue,1
2297,American (New),37
2297,German,3
2297,Wine Bars,17
2297,Vegetarian,9
2297,Soul Food,3
2297,Sushi Bars,12
2297,Latin American,9
2297,Vegan,6
2297,Pubs,19
2297,British,3
2297,Climbing,3
2297,Irish,4
2297,Breweries,6
2297,Southern,3
2297,Airports,3
2297,Ethiopian,3
2297,Fondue,1
2389,American (New),21
2389,Wine Bars,6
2389,Vegetarian,9
2389,Soul Food,6
2389,Sushi Bars,1
2389,Latin American,6
2389,Pubs,1
2389,British,3
2389,Breweries,1
2389,Southern,3
2389,Tapas/Small Plates,3
2445,American (New),39
2445,German,3
2445,Wine Bars,10
2445,Vegetarian,9
2445,Sushi Bars,1
2445,Latin American,3
