"business_id","active","city","state","stars","review_count"
"1","true","Phoenix","AZ","3","Low"
"2","true","Scottsdale","AZ","4.5","Medium"
"3","true","Scottsdale","AZ","4","Medium"
"4","true","Glendale","AZ","4","Low"
"5","true","Scottsdale","AZ","5","Low"
"6","true","Casa Grande","AZ","4","Low"
"7","true","Phoenix","AZ","3.5","Low"
"8","true","Phoenix","AZ","2","Low"
"9","true","Peoria","AZ","4","Low"
"10","true","Phoenix","AZ","4.5","Low"
"11","true","Mesa","AZ","4","Medium"
"12","true","Scottsdale","AZ","2.5","Low"
"13","true","Phoenix","AZ","3.5","Medium"
"14","true","Scottsdale","AZ","2.5","Low"
"15","true","Tempe","AZ","3","Low"
"16","true","Chandler","AZ","4.5","Low"
"17","true","Peoria","AZ","4","Low"
"18","true","Phoenix","AZ","5","Low"
"19","true","Scottsdale","AZ","5","Low"
"20","true","Chandler","AZ","3.5","Low"
"21","true","Phoenix","AZ","2","Low"
"22","true","Phoenix","AZ","4","High"
"23","true","Phoenix","AZ","4","Medium"
"24","true","Scottsdale","AZ","4.5","Uber"
"25","true","Chandler","AZ","4","Low"
"26","true","Tolleson","AZ","3.5","Low"
"27","true","Chandler","AZ","4","Low"
"28","true","Goodyear","AZ","4","Low"
"29","true","Mesa","AZ","4.5","Low"
"30","true","Phoenix","AZ","2","Low"
"31","true","Peoria","AZ","3.5","Low"
"32","true","Avondale","AZ","4","Medium"
"33","true","Gilbert","AZ","3.5","Low"
"34","true","Gilbert","AZ","2.5","Low"
"35","true","Gilbert","AZ","3.5","Low"
"36","true","Chandler","AZ","3.5","Medium"
"37","true","Scottsdale","AZ","3","Medium"
"38","true","Phoenix","AZ","3","Low"
"39","true","Mesa","AZ","5","Low"
"40","true","Mesa","AZ","4","Low"
"41","true","Phoenix","AZ","5","Low"
"42","true","Scottsdale","AZ","3.5","Low"
"43","true","Phoenix","AZ","3","Low"
"44","true","Phoenix","AZ","3","Low"
"45","true","Peoria","AZ","1.5","Low"
"46","false","Phoenix","AZ","3.5","Medium"
"47","true","Phoenix","AZ","2","Low"
"48","true","Glendale","AZ","3.5","Low"
"49","true","Phoenix","AZ","2.5","Low"
"50","true","Scottsdale","AZ","4.5","Low"
"51","true","Apache Junction","AZ","4.5","Low"
"52","true","Chandler","AZ","3.5","Low"
"53","true","Scottsdale","AZ","3","High"
"54","false","Phoenix","AZ","3.5","Low"
"55","true","Phoenix","AZ","4.5","Low"
"56","true","Phoenix","AZ","4","Uber"
