"business_id","category_id"
"1","8"
"1","143"
"2","18"
"2","170"
"3","18"
"3","93"
"3","196"
"3","207"
"4","15"
"4","48"
"5","39"
"5","51"
"6","18"
"6","93"
"7","8"
"7","227"
"8","23"
"8","24"
"9","24"
"9","87"
"10","18"
"11","24"
"11","98"
"12","8"
"13","18"
"13","25"
"13","89"
"13","150"
"15","18"
"15","49"
"16","1"
"16","33"
"16","242"
"17","18"
"17","112"
"18","23"
"18","24"
"18","87"
"18","114"
"19","31"
"19","58"
"19","97"
"20","17"
"20","18"
"21","24"
"21","113"
"22","18"
"22","93"
"23","18"
"23","42"
"23","43"
"23","142"
"24","18"
"24","25"
"25","18"
"25","49"
"26","53"
"26","54"
"26","55"
"27","7"
"27","8"
"27","9"
"28","74"
"28","75"
"29","53"
"29","187"
"30","2"
"30","24"
"30","117"
"30","165"
"31","53"
"31","54"
"31","55"
"32","18"
"32","129"
"33","24"
"33","113"
"34","21"
"34","22"
"34","74"
"34","75"
"34","362"
"35","18"
"35","42"
"35","43"
"35","90"
"36","18"
"36","25"
"36","89"
"37","24"
"37","145"
"38","7"
"38","8"
"38","10"
"38","12"
"39","7"
"39","8"
"39","10"
"39","11"
"39","84"
"40","18"
"40","26"
"41","21"
"41","61"
"41","304"
"42","1"
"42","32"
"42","33"
"43","1"
"43","105"
"44","7"
"44","8"
"44","9"
"44","71"
"45","18"
"45","49"
"46","18"
"46","26"
"47","8"
"47","77"
"47","131"
"48","24"
"49","18"
"49","26"
"50","44"
"50","45"
"51","8"
"51","263"
"52","53"
"52","54"
"52","55"
"53","18"
"53","42"
"53","43"
"53","89"
"53","90"
"54","42"
"54","43"
"54","66"
"55","8"
"55","69"
"55","120"
"56","18"
"56","26"
"56","112"
"56","155"
"57","1"
"57","83"
"57","105"
"58","54"
"58","194"
"58","323"
"59","18"
"59","26"
"60","7"
"60","8"
"60","10"
"60","12"
"61","168"
"61","294"
"62","7"
"62","8"
"62","9"
"62","10"
"62","351"
"63","7"
"63","8"
"63","9"
"63","24"
"63","113"
"63","227"
"64","18"
"64","234"
"64","400"
"64","502"
"65","21"
"65","60"
"65","61"
"66","6"
"66","204"
"67","5"
"67","6"
"67","41"
"67","126"
"68","2"
"68","197"
"68","481"
"69","17"
"69","18"
"69","79"
"70","39"
"70","50"
"71","39"
"71","50"
"72","7"
"72","8"
"72","10"
"72","11"
"72","12"
"73","8"
"73","69"
"73","119"
"74","18"
"74","26"
"74","49"
"74","192"
"75","24"
"75","98"
"76","21"
"76","61"
"76","250"
"77","17"
"77","18"
"78","18"
"78","42"
"78","43"
"78","89"
"78","90"
"79","31"
"79","92"
"80","24"
"80","87"
"80","319"
"81","15"
"81","16"
"82","31"
"82","109"
"83","18"
"83","89"
"83","142"
"84","18"
"84","42"
"84","43"
"84","89"
"84","240"
"85","18"
"86","8"
"86","21"
"86","69"
"86","119"
"86","156"
"87","1"
"87","32"
"87","33"
"87","210"
"87","384"
"88","13"
"88","15"
"88","23"
"88","24"
"89","18"
"89","26"
"89","112"
"89","154"
"90","7"
"90","8"
"90","9"
"91","7"
"91","8"
"91","9"
"92","7"
"92","8"
"92","10"
"92","11"
"92","360"
"93","1"
"93","327"
"94","2"
"94","18"
"94","54"
"94","125"
"94","184"
"94","197"
"95","18"
"95","166"
"95","170"
"96","39"
"96","121"
"97","18"
"97","24"
"97","88"
"97","95"
"98","2"
"98","18"
"98","42"
"98","43"
"98","240"
"98","265"
"98","364"
"99","42"
"99","43"
"99","240"
"100","18"
"100","85"
"100","89"
"100","142"
"101","18"
"101","93"
"102","18"
"102","79"
"102","89"
"103","18"
"103","89"
"103","182"
"104","37"
"104","39"
"105","18"
"105","79"
"105","89"
"106","18"
"106","88"
"107","18"
"107","154"
"108","18"
"108","24"
"108","25"
"108","26"
"108","191"
"109","1"
"109","53"
"109","54"
"109","55"
"109","65"
"109","82"
"110","24"
"110","98"
"111","31"
"111","221"
"112","18"
"112","175"
"112","402"
"112","419"
"113","18"
"113","88"
"113","89"
"113","192"
"114","17"
"114","18"
"115","24"
"115","145"
"116","8"
"116","24"
"116","39"
"116","71"
"116","72"
"116","73"
"117","8"
"117","77"
"118","13"
"118","15"
"118","46"
"119","36"
"119","39"
"120","21"
"120","250"
"121","7"
"121","8"
"121","10"
"121","12"
