"business_id","day_id","opening_time","closing_time"
"2","2","11AM","8PM"
"2","3","11AM","8PM"
"2","4","11AM","8PM"
"2","5","11AM","8PM"
"2","6","11AM","8PM"
"2","7","11AM","8PM"
"3","1","12PM","9PM"
"3","2","10AM","9PM"
"3","3","10AM","9PM"
"3","4","10AM","9PM"
"3","5","10AM","9PM"
"3","6","10AM","9PM"
"3","7","12PM","9PM"
"4","2","8AM","6PM"
"4","3","8AM","6PM"
"4","4","8AM","6PM"
"4","5","8AM","6PM"
"4","6","8AM","6PM"
"4","7","9AM","5PM"
"7","1","9AM","9PM"
"7","2","11AM","7PM"
"7","3","9AM","8PM"
"7","4","9AM","8PM"
"7","5","9AM","8PM"
"7","6","9AM","8PM"
"7","7","9AM","9PM"
"11","1","9AM","4PM"
"11","2","7AM","9PM"
"11","3","7AM","6PM"
"11","4","7AM","9PM"
"11","5","7AM","6PM"
"11","6","7AM","9PM"
"11","7","7AM","10PM"
"12","1","11AM","5PM"
"12","2","10AM","5PM"
"12","3","10AM","5PM"
"12","4","10AM","5PM"
"12","5","10AM","5PM"
"12","6","10AM","5PM"
"12","7","10AM","5PM"
"13","1","7AM","2PM"
"13","2","7AM","2PM"
"13","3","7AM","2PM"
"13","4","7AM","2PM"
"13","5","7AM","2PM"
"13","6","7AM","2PM"
"13","7","7AM","2PM"
"16","2","5AM","9PM"
"16","3","8AM","9PM"
"16","4","5AM","9PM"
"16","5","9AM","9PM"
"16","6","5AM","8PM"
"16","7","7AM","6PM"
"18","1","8AM","1PM"
"18","3","10AM","6PM"
"18","4","10AM","6PM"
"18","5","10AM","6PM"
"18","6","10AM","6PM"
"18","7","8AM","1PM"
"22","1","4PM","9PM"
"22","2","11AM","9PM"
"22","3","11AM","9PM"
"22","4","11AM","9PM"
"22","5","11AM","9PM"
"22","6","11AM","10PM"
"22","7","12PM","10PM"
"24","1","7AM","4PM"
"24","2","6AM","4PM"
"24","3","6AM","4PM"
"24","4","6AM","4PM"
"24","5","6AM","4PM"
"24","6","6AM","4PM"
"24","7","7AM","4PM"
"26","2","9AM","5PM"
"26","3","9AM","5PM"
"26","4","9AM","5PM"
"26","5","9AM","5PM"
"26","6","9AM","5PM"
"29","2","7AM","6PM"
"29","3","7AM","6PM"
"29","4","7AM","6PM"
"29","5","7AM","6PM"
"29","6","7AM","6PM"
"29","7","9AM","12PM"
"31","1","6AM","6AM"
"31","2","6AM","6AM"
"31","3","6AM","6AM"
"31","4","6AM","6AM"
"31","5","6AM","6AM"
"31","6","6AM","6AM"
"31","7","6AM","6AM"
"32","1","11AM","9PM"
"32","2","11AM","9PM"
"32","3","11AM","9PM"
"32","4","11AM","9PM"
"32","5","11AM","9PM"
"32","6","11AM","9PM"
"32","7","11AM","9PM"
"36","1","7AM","11PM"
"36","2","7AM","11PM"
"36","3","7AM","11PM"
"36","4","7AM","11PM"
"36","5","7AM","11PM"
"36","6","7AM","11PM"
"36","7","7AM","11PM"
"37","1","11AM","10PM"
"37","2","11AM","10PM"
"37","3","11AM","10PM"
"37","4","11AM","10PM"
"37","5","11AM","10PM"
"37","6","10AM","10PM"
"37","7","10AM","10PM"
"39","1","9AM","9PM"
"39","2","9AM","10PM"
"39","3","9AM","10PM"
"39","4","9AM","11PM"
"39","5","9AM","10PM"
"39","6","9AM","11PM"
"39","7","8AM","11PM"
"40","2","11AM","10PM"
"40","3","11AM","10PM"
"40","4","11AM","10PM"
"40","5","11AM","10PM"
"40","6","11AM","10PM"
"40","7","11AM","10PM"
"41","2","7AM","4PM"
"41","3","7AM","4PM"
"41","4","7AM","4PM"
